,SHORT_URL,DESTINATION_URL
,https://xfin.tv/2Eby8Uj,https://www.xfinity.com/stream/entity/9082335988464609112
,https://xfin.tv/2Ec3Ctn,https://www.xfinity.com/stream/entity/5245453931048996112
,https://xfin.tv/2EC5oEj,https://www.xfinity.com/stream/entity/5119541593023494112
,https://xfin.tv/2ECjsxw,https://www.xfinity.com/stream/entity/6526752481673556112
,https://xfin.tv/2ECTXw5,https://www.xfinity.com/stream/entity/8119552244703752112
,https://xfin.tv/2ED2vmI,https://www.xfinity.com/stream/entity/8938469030490593112
,https://xfin.tv/2EDDjfM,https://www.xfinity.com/stream/entity/7670688937835503112
,https://xfin.tv/2EDGbZZ,https://www.xfinity.com/stream/entity/7190474341687423112
,https://xfin.tv/2EDMexE,https://www.xfinity.com/stream/entity/9076767133693362112
,https://xfin.tv/2EDMTPW,https://www.xfinity.com/stream/entity/4873441560620957112
,https://xfin.tv/2EDNIbm,https://www.xfinity.com/stream/entity/5930845746129078112
,https://xfin.tv/2EDnpSM,https://www.xfinity.com/stream/entity/8028459290968111112
,https://xfin.tv/2EDtwq0,https://www.xfinity.com/stream/entity/7526097165760393112
,https://xfin.tv/2EDue6Q,https://www.xfinity.com/stream/entity/7798174027438082112
,https://xfin.tv/2EEEdJ7,https://www.xfinity.com/stream/entity/6561567791853146112
,https://xfin.tv/2EEeXCP,https://www.xfinity.com/stream/entity/4631348450734970112
,https://xfin.tv/2EEUv4G,https://www.xfinity.com/stream/entity/5145186845805212112
,https://xfin.tv/2EFDJlU,https://www.xfinity.com/stream/entity/6733345221161064112
,https://xfin.tv/2EGaXl7,https://www.xfinity.com/stream/entity/6506800377116853112
,https://xfin.tv/2EGExHb,https://www.xfinity.com/stream/entity/4693546913858851112
,https://xfin.tv/2EGfvrP,https://www.xfinity.com/stream/entity/9119693659629448112
,https://xfin.tv/2EGuT7h,https://www.xfinity.com/stream/entity/9036855273058856112
,https://xfin.tv/2EGWYve,https://www.xfinity.com/stream/sports/team/4781372673100887119
,https://xfin.tv/2EGXo4P,https://www.xfinity.com/stream/entity/5672131802771103112
,https://xfin.tv/2Eh3iNe,https://www.xfinity.com/stream/collection/sports?utm_source=wtwemail&utm_medium=20200731sportsareback&utm_campaign=tvsend
,https://xfin.tv/2EH4Tc4,https://www.xfinity.com/stream/entity/6483757603698243112
,https://xfin.tv/2EHc5Fe,https://www.xfinity.com/stream/entity/4931403787627884112
,https://xfin.tv/2EHDB5d,https://www.xfinity.com/stream/entity/5980284399104509112
,https://xfin.tv/2EHjjsS,https://www.xfinity.com/stream/entity/6695253386842609112
,https://xfin.tv/2EhLFJW,https://www.xfinity.com/stream/entity/7813482642408548112
,https://xfin.tv/2EHo2e4,https://www.xfinity.com/stream/entity/5250196457041503112
,https://xfin.tv/2EHtNsc,https://www.xfinity.com/stream/entity/4818960928767036112
,https://xfin.tv/2Ehxc0G,https://www.xfinity.com/stream/collection/et-holiday
,https://xfin.tv/2EI1nOv,https://www.xfinity.com/stream/entity/6935780295288549112
,https://xfin.tv/2Eih5jn,https://www.xfinity.com/stream/entity/8642183476471499112
,https://xfin.tv/2EILvv8,https://www.xfinity.com/stream/entity/7151329632058925112
,https://xfin.tv/2EIP8RV,https://www.xfinity.com/stream/entity/5364530944122402112
,https://xfin.tv/2EIzRRi,https://www.xfinity.com/stream/entity/8691706130775404112
,https://xfin.tv/2EJ6Wwe,https://www.xfinity.com/stream/entity/4736684469088891112
,https://xfin.tv/2EJbClX,https://www.xfinity.com/stream/entity/7193525624431414112
,https://xfin.tv/2EJC0w2,https://www.xfinity.com/stream/entity/4985930275293317112
,https://xfin.tv/2EjIRMv,https://www.xfinity.com/stream/entity/6904100481707951112
,https://xfin.tv/2EJjLGM,https://www.xfinity.com/stream/entity/7771402058256108112
,https://xfin.tv/2EjJPYZ,https://www.xfinity.com/stream/entity/4865380483838026112
,https://xfin.tv/2EJkCYf,https://www.xfinity.com/stream/entity/8487251823170742112
,https://xfin.tv/2EJsrx3,https://www.xfinity.com/stream/entity/5872065816255751112
,https://xfin.tv/2EjVNlh,https://www.xfinity.com/stream/entity/8643507632827303112
,https://xfin.tv/2EjyqZm,https://www.xfinity.com/stream/entity/8369568572318757112
,https://xfin.tv/2EK3gKQ,https://www.xfinity.com/stream/entity/7623423104540198112
,https://xfin.tv/2EK7bag,https://www.xfinity.com/stream/entity/5701255642189074112
,https://xfin.tv/2EK7oKQ,https://www.xfinity.com/stream/entity/7483197211497823112
,https://xfin.tv/2EkBCnw,https://www.xfinity.com/stream/entity/8688782535839966112
,https://xfin.tv/2EKcI0N,https://www.xfinity.com/stream/entity/6812140008979925112
,https://xfin.tv/2EKHQND,https://www.xfinity.com/stream/sports/team/6160581899212332119
,https://xfin.tv/2EKI3jE,https://www.xfinity.com/stream/entity/6298609362214621112
,https://xfin.tv/2EkqhUe,https://www.xfinity.com/stream/entity/6349469585900310112
,https://xfin.tv/2EKSqEi,https://www.xfinity.com/stream/entity/4728503379323601112
,https://xfin.tv/2EKunp5,https://www.xfinity.com/stream/entity/6145144318172822112
,https://xfin.tv/2EkYYJA,https://www.xfinity.com/stream/entity/8140931624141085112
,https://xfin.tv/2EL7lyc,https://www.xfinity.com/stream/entity/7357985459857959112
,https://xfin.tv/2EL93Q3,https://www.xfinity.com/stream/entity/5330594675917375112
,https://xfin.tv/2EL9eeg,https://www.xfinity.com/stream/sports/team/7637964430872911119
,https://xfin.tv/2ELJcaE,https://www.xfinity.com/stream/entity/7768102548491745112
,https://xfin.tv/2ElP2ja,https://www.xfinity.com/stream/entity/5239543706113867112
,https://xfin.tv/2ELwrwZ,https://www.xfinity.com/stream/entity/5981620354614149112
,https://xfin.tv/2Em0smG,https://www.xfinity.com/stream/collection/bestof19-tvfarewells?utm_source=wtwemail&utm_medium=20191217tvfarewells&utm_campaign=tvsend
,https://xfin.tv/2EmC0Sg,https://www.xfinity.com/stream/entity/5560070169010781112
,https://xfin.tv/2EMpbAQ,https://www.xfinity.com/stream/entity/6206672966190300112
,https://xfin.tv/2EMsCYh,https://www.xfinity.com/stream/entity/7490135814518641112
,https://xfin.tv/2EncPPp,https://www.xfinity.com/stream/entity/8937445102543643112
,https://xfin.tv/2ENcyFC,https://www.xfinity.com/stream/entity/4780658033953768112
,https://xfin.tv/2EnhJMm,https://www.xfinity.com/stream/entity/7848084514287887112
,https://xfin.tv/2ENjov3,https://www.xfinity.com/stream/entity/7520014481360206112
,https://xfin.tv/2EnXD4A,https://www.xfinity.com/stream/entity/9069779225924830112
